year,sex,means_of_travel,aggregate_town_or_rural_area,time_leaving_home,age,edu_level,value
2011,Male,train,Aggregate Town Area,07:01 - 07:30,>=19,university,520
2011,Male,train,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,5710
2011,Male,train,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,113
2011,Male,train,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,1124
2011,Male,train,Aggregate Town Area,07:31 - 08:00,>=19,university,945
2011,Male,train,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,5068
2011,Male,train,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,123
2011,Male,train,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,599
2011,Male,train,Aggregate Town Area,08:01 - 08:30,>=19,university,1257
2011,Male,train,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,2035
2011,Male,train,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,36
2011,Male,train,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,133
2011,Male,train,Aggregate Town Area,08:31 - 09:00,>=19,university,763
2011,Male,train,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,804
2011,Male,train,Aggregate Town Area,09:01 - 09:30,5 to 12,primary-school,9
2011,Male,train,Aggregate Town Area,09:01 - 09:30,13 to 18,leaving-cert,40
2011,Male,train,Aggregate Town Area,09:01 - 09:30,>=19,university,503
2011,Male,train,Aggregate Town Area,After 09:30,>=15,junior-cert,1545
2011,Male,train,Aggregate Town Area,After 09:30,5 to 12,primary-school,1
2011,Male,train,Aggregate Town Area,After 09:30,13 to 18,leaving-cert,60
2011,Male,train,Aggregate Town Area,After 09:30,>=19,university,904
2011,Male,train,Aggregate Town Area,na,>=15,junior-cert,146
2011,Male,train,Aggregate Town Area,na,5 to 12,primary-school,3
2011,Male,train,Aggregate Town Area,na,13 to 18,leaving-cert,13
2011,Male,train,Aggregate Town Area,na,>=19,university,45
2011,Male,train,Aggregate Rural Area,Before 06:30,>=15,junior-cert,339
2011,Male,train,Aggregate Rural Area,Before 06:30,5 to 12,primary-school,1
2011,Male,train,Aggregate Rural Area,Before 06:30,13 to 18,leaving-cert,11
2011,Male,train,Aggregate Rural Area,Before 06:30,>=19,university,22
2011,Male,train,Aggregate Rural Area,06:30 - 07:00,>=15,junior-cert,404
2011,Male,train,Aggregate Rural Area,06:30 - 07:00,5 to 12,primary-school,0
2011,Male,train,Aggregate Rural Area,06:30 - 07:00,13 to 18,leaving-cert,31
2011,Male,train,Aggregate Rural Area,06:30 - 07:00,>=19,university,80
2011,Male,train,Aggregate Rural Area,07:01 - 07:30,>=15,junior-cert,340
2011,Male,train,Aggregate Rural Area,07:01 - 07:30,5 to 12,primary-school,4
2011,Male,train,Aggregate Rural Area,07:01 - 07:30,13 to 18,leaving-cert,83
2011,Male,train,Aggregate Rural Area,07:01 - 07:30,>=19,university,128
2011,Male,train,Aggregate Rural Area,07:31 - 08:00,>=15,junior-cert,306
2011,Male,train,Aggregate Rural Area,07:31 - 08:00,5 to 12,primary-school,4
2011,Male,train,Aggregate Rural Area,07:31 - 08:00,13 to 18,leaving-cert,74
2011,Male,train,Aggregate Rural Area,07:31 - 08:00,>=19,university,169
2011,Male,train,Aggregate Rural Area,08:01 - 08:30,>=15,junior-cert,107
2011,Male,train,Aggregate Rural Area,08:01 - 08:30,5 to 12,primary-school,2
2011,Male,train,Aggregate Rural Area,08:01 - 08:30,13 to 18,leaving-cert,41
2011,Male,train,Aggregate Rural Area,08:01 - 08:30,>=19,university,153
2011,Male,train,Aggregate Rural Area,08:31 - 09:00,>=15,junior-cert,48
2011,Male,train,Aggregate Rural Area,08:31 - 09:00,5 to 12,primary-school,13
2011,Male,train,Aggregate Rural Area,08:31 - 09:00,13 to 18,leaving-cert,24
2011,Male,train,Aggregate Rural Area,08:31 - 09:00,>=19,university,109
2011,Male,train,Aggregate Rural Area,09:01 - 09:30,>=15,junior-cert,12
2011,Male,train,Aggregate Rural Area,09:01 - 09:30,5 to 12,primary-school,14
2011,Male,train,Aggregate Rural Area,09:01 - 09:30,13 to 18,leaving-cert,12
2011,Male,train,Aggregate Rural Area,09:01 - 09:30,>=19,university,53
2011,Male,train,Aggregate Rural Area,After 09:30,>=15,junior-cert,35
2011,Male,train,Aggregate Rural Area,After 09:30,5 to 12,primary-school,0
2011,Male,train,Aggregate Rural Area,After 09:30,13 to 18,leaving-cert,13
2011,Male,train,Aggregate Rural Area,After 09:30,>=19,university,54
2011,Male,train,Aggregate Rural Area,na,>=15,junior-cert,15
2011,Male,train,Aggregate Rural Area,na,5 to 12,primary-school,0
2011,Male,train,Aggregate Rural Area,na,13 to 18,leaving-cert,6
2011,Male,train,Aggregate Rural Area,na,>=19,university,8
2011,Male,motorbike,Aggregate Town Area,Before 06:30,>=15,junior-cert,686
2011,Male,motorbike,Aggregate Town Area,Before 06:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,Before 06:30,13 to 18,leaving-cert,0
2011,Male,motorbike,Aggregate Town Area,Before 06:30,>=19,university,3
2011,Male,motorbike,Aggregate Town Area,06:30 - 07:00,>=15,junior-cert,570
2011,Male,motorbike,Aggregate Town Area,06:30 - 07:00,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,06:30 - 07:00,13 to 18,leaving-cert,0
2011,Male,motorbike,Aggregate Town Area,06:30 - 07:00,>=19,university,8
2011,Male,motorbike,Aggregate Town Area,07:01 - 07:30,>=15,junior-cert,704
2011,Male,motorbike,Aggregate Town Area,07:01 - 07:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,07:01 - 07:30,13 to 18,leaving-cert,2
2011,Male,motorbike,Aggregate Town Area,07:01 - 07:30,>=19,university,10
2011,Male,motorbike,Aggregate Town Area,07:31 - 08:00,>=15,junior-cert,1088
2011,Male,motorbike,Aggregate Town Area,07:31 - 08:00,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,07:31 - 08:00,13 to 18,leaving-cert,10
2011,Male,motorbike,Aggregate Town Area,07:31 - 08:00,>=19,university,25
2011,Male,motorbike,Aggregate Town Area,08:01 - 08:30,>=15,junior-cert,1117
2011,Male,motorbike,Aggregate Town Area,08:01 - 08:30,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,08:01 - 08:30,13 to 18,leaving-cert,39
2011,Male,motorbike,Aggregate Town Area,08:01 - 08:30,>=19,university,98
2011,Male,motorbike,Aggregate Town Area,08:31 - 09:00,>=15,junior-cert,881
2011,Male,motorbike,Aggregate Town Area,08:31 - 09:00,5 to 12,primary-school,0
2011,Male,motorbike,Aggregate Town Area,08:31 - 09:00,13 to 18,leaving-cert,43
2011,Male,motorbike,Aggregate Town Area,08:31 - 09:00,>=19,university,122
2011,Male,motorbike,Aggregate Town Area,09:01 - 09:30,>=15,junior-cert,380
