year,sex,travelling_time,time_leaving_home,age,edu_level,value
2011,Female,¼ hour - < ½ hour,08:01 - 08:30,>=15,junior-cert,60370
2011,Female,¼ hour - < ½ hour,08:01 - 08:30,5 to 12,primary-school,19832
2011,Female,¼ hour - < ½ hour,08:01 - 08:30,13 to 18,leaving-cert,32130
2011,Female,¼ hour - < ½ hour,08:01 - 08:30,>=19,university,6705
2011,Female,¼ hour - < ½ hour,08:31 - 09:00,>=15,junior-cert,62509
2011,Female,¼ hour - < ½ hour,08:31 - 09:00,5 to 12,primary-school,28020
2011,Female,¼ hour - < ½ hour,08:31 - 09:00,13 to 18,leaving-cert,12507
2011,Female,¼ hour - < ½ hour,08:31 - 09:00,>=19,university,9902
2011,Female,¼ hour - < ½ hour,09:01 - 09:30,>=15,junior-cert,24511
2011,Female,¼ hour - < ½ hour,09:01 - 09:30,5 to 12,primary-school,5471
2011,Female,¼ hour - < ½ hour,09:01 - 09:30,13 to 18,leaving-cert,794
2011,Female,¼ hour - < ½ hour,09:01 - 09:30,>=19,university,3823
2011,Female,¼ hour - < ½ hour,After 09:30,>=15,junior-cert,32603
2011,Female,¼ hour - < ½ hour,After 09:30,5 to 12,primary-school,68
2011,Female,¼ hour - < ½ hour,After 09:30,13 to 18,leaving-cert,427
2011,Female,¼ hour - < ½ hour,After 09:30,>=19,university,4530
2011,Female,½ hour - < ¾ hour,Before 06:30,>=15,junior-cert,6717
2011,Female,½ hour - < ¾ hour,Before 06:30,5 to 12,primary-school,8
2011,Female,½ hour - < ¾ hour,Before 06:30,13 to 18,leaving-cert,22
2011,Female,½ hour - < ¾ hour,Before 06:30,>=19,university,129
2011,Female,½ hour - < ¾ hour,06:30 - 07:00,>=15,junior-cert,12698
2011,Female,½ hour - < ¾ hour,06:30 - 07:00,5 to 12,primary-school,100
2011,Female,½ hour - < ¾ hour,06:30 - 07:00,13 to 18,leaving-cert,232
2011,Female,½ hour - < ¾ hour,06:30 - 07:00,>=19,university,491
2011,Female,½ hour - < ¾ hour,07:01 - 07:30,>=15,junior-cert,22363
2011,Female,½ hour - < ¾ hour,07:01 - 07:30,5 to 12,primary-school,430
2011,Female,½ hour - < ¾ hour,07:01 - 07:30,13 to 18,leaving-cert,2009
2011,Female,½ hour - < ¾ hour,07:01 - 07:30,>=19,university,1185
2011,Female,½ hour - < ¾ hour,07:31 - 08:00,>=15,junior-cert,31110
2011,Female,½ hour - < ¾ hour,07:31 - 08:00,5 to 12,primary-school,2031
2011,Female,½ hour - < ¾ hour,07:31 - 08:00,13 to 18,leaving-cert,10579
2011,Female,½ hour - < ¾ hour,07:31 - 08:00,>=19,university,3622
2011,Female,½ hour - < ¾ hour,08:01 - 08:30,>=15,junior-cert,46160
2011,Female,½ hour - < ¾ hour,08:01 - 08:30,5 to 12,primary-school,5321
2011,Female,½ hour - < ¾ hour,08:01 - 08:30,13 to 18,leaving-cert,9364
2011,Female,½ hour - < ¾ hour,08:01 - 08:30,>=19,university,6547
2011,Female,½ hour - < ¾ hour,08:31 - 09:00,>=15,junior-cert,23058
2011,Female,½ hour - < ¾ hour,08:31 - 09:00,5 to 12,primary-school,2910
2011,Female,½ hour - < ¾ hour,08:31 - 09:00,13 to 18,leaving-cert,1352
2011,Female,½ hour - < ¾ hour,08:31 - 09:00,>=19,university,3810
2011,Female,½ hour - < ¾ hour,09:01 - 09:30,>=15,junior-cert,9325
2011,Female,½ hour - < ¾ hour,09:01 - 09:30,5 to 12,primary-school,279
2011,Female,½ hour - < ¾ hour,09:01 - 09:30,13 to 18,leaving-cert,222
2011,Female,½ hour - < ¾ hour,09:01 - 09:30,>=19,university,1943
2011,Female,½ hour - < ¾ hour,After 09:30,>=15,junior-cert,13950
2011,Female,½ hour - < ¾ hour,After 09:30,5 to 12,primary-school,18
2011,Female,½ hour - < ¾ hour,After 09:30,13 to 18,leaving-cert,193
2011,Female,½ hour - < ¾ hour,After 09:30,>=19,university,2350
2011,Female,¾ hour - < 1 hour,Before 06:30,>=15,junior-cert,2930
2011,Female,¾ hour - < 1 hour,Before 06:30,5 to 12,primary-school,7
2011,Female,¾ hour - < 1 hour,Before 06:30,13 to 18,leaving-cert,9
2011,Female,¾ hour - < 1 hour,Before 06:30,>=19,university,101
2011,Female,¾ hour - < 1 hour,06:30 - 07:00,>=15,junior-cert,6437
2011,Female,¾ hour - < 1 hour,06:30 - 07:00,5 to 12,primary-school,21
2011,Female,¾ hour - < 1 hour,06:30 - 07:00,13 to 18,leaving-cert,103
2011,Female,¾ hour - < 1 hour,06:30 - 07:00,>=19,university,323
2011,Female,¾ hour - < 1 hour,07:01 - 07:30,>=15,junior-cert,9863
2011,Female,¾ hour - < 1 hour,07:01 - 07:30,5 to 12,primary-school,146
2011,Female,¾ hour - < 1 hour,07:01 - 07:30,13 to 18,leaving-cert,844
2011,Female,¾ hour - < 1 hour,07:01 - 07:30,>=19,university,956
2011,Female,¾ hour - < 1 hour,07:31 - 08:00,>=15,junior-cert,15159
2011,Female,¾ hour - < 1 hour,07:31 - 08:00,5 to 12,primary-school,553
2011,Female,¾ hour - < 1 hour,07:31 - 08:00,13 to 18,leaving-cert,2571
2011,Female,¾ hour - < 1 hour,07:31 - 08:00,>=19,university,2300
2011,Female,¾ hour - < 1 hour,08:01 - 08:30,>=15,junior-cert,14181
2011,Female,¾ hour - < 1 hour,08:01 - 08:30,5 to 12,primary-school,602
2011,Female,¾ hour - < 1 hour,08:01 - 08:30,13 to 18,leaving-cert,1161
2011,Female,¾ hour - < 1 hour,08:01 - 08:30,>=19,university,2299
2011,Female,¾ hour - < 1 hour,08:31 - 09:00,>=15,junior-cert,4931
2011,Female,¾ hour - < 1 hour,08:31 - 09:00,5 to 12,primary-school,228
2011,Female,¾ hour - < 1 hour,08:31 - 09:00,13 to 18,leaving-cert,157
2011,Female,¾ hour - < 1 hour,08:31 - 09:00,>=19,university,925
2011,Female,¾ hour - < 1 hour,09:01 - 09:30,>=15,junior-cert,1995
2011,Female,¾ hour - < 1 hour,09:01 - 09:30,5 to 12,primary-school,51
2011,Female,¾ hour - < 1 hour,09:01 - 09:30,13 to 18,leaving-cert,56
2011,Female,¾ hour - < 1 hour,09:01 - 09:30,>=19,university,577
2011,Female,¾ hour - < 1 hour,After 09:30,>=15,junior-cert,3565
2011,Female,¾ hour - < 1 hour,After 09:30,5 to 12,primary-school,2
2011,Female,¾ hour - < 1 hour,After 09:30,13 to 18,leaving-cert,64
2011,Female,¾ hour - < 1 hour,After 09:30,>=19,university,762
2011,Female,1 hour - < 1½ hours,Before 06:30,>=15,junior-cert,3887
2011,Female,1 hour - < 1½ hours,Before 06:30,5 to 12,primary-school,13
2011,Female,1 hour - < 1½ hours,Before 06:30,13 to 18,leaving-cert,28
2011,Female,1 hour - < 1½ hours,Before 06:30,>=19,university,168
2011,Female,1 hour - < 1½ hours,06:30 - 07:00,>=15,junior-cert,7045
2011,Female,1 hour - < 1½ hours,06:30 - 07:00,5 to 12,primary-school,33
2011,Female,1 hour - < 1½ hours,06:30 - 07:00,13 to 18,leaving-cert,213
2011,Female,1 hour - < 1½ hours,06:30 - 07:00,>=19,university,798
2011,Female,1 hour - < 1½ hours,07:01 - 07:30,>=15,junior-cert,9556
