year,sex,home,travelling_time,age_range,edu_status,value
2011,Male,Wexford,0.525,13-18,at secondary school,138
2011,Male,Wexford,0.525,19-66,at university,93
2011,Male,Wexford,1.25,15-66,working,1857
2011,Male,Wexford,1.25,5-12,at primary school,25
2011,Male,Wexford,1.25,13-18,at secondary school,118
2011,Male,Wexford,1.25,19-66,at university,179
2011,Male,Wexford,1.3,15-66,working,1456
2011,Male,Wexford,1.3,5-12,at primary school,16
2011,Male,Wexford,1.3,13-18,at secondary school,28
2011,Male,Wexford,1.3,19-66,at university,148
2011,Male,Wicklow,0.125,15-66,working,5296
2011,Male,Wicklow,0.125,5-12,at primary school,5288
2011,Male,Wicklow,0.125,13-18,at secondary school,1919
2011,Male,Wicklow,0.125,19-66,at university,276
2011,Male,Wicklow,0.275,15-66,working,5258
2011,Male,Wicklow,0.275,5-12,at primary school,1932
2011,Male,Wicklow,0.275,13-18,at secondary school,1690
2011,Male,Wicklow,0.275,19-66,at university,378
2011,Male,Wicklow,0.375,15-66,working,5731
2011,Male,Wicklow,0.375,5-12,at primary school,440
2011,Male,Wicklow,0.375,13-18,at secondary school,855
2011,Male,Wicklow,0.375,19-66,at university,424
2011,Male,Wicklow,0.525,15-66,working,2975
2011,Male,Wicklow,0.525,5-12,at primary school,94
2011,Male,Wicklow,0.525,13-18,at secondary school,310
2011,Male,Wicklow,0.525,19-66,at university,328
2011,Male,Wicklow,1.25,15-66,working,3881
2011,Male,Wicklow,1.25,5-12,at primary school,81
2011,Male,Wicklow,1.25,13-18,at secondary school,243
2011,Male,Wicklow,1.25,19-66,at university,637
2011,Male,Wicklow,1.3,15-66,working,1057
2011,Male,Wicklow,1.3,5-12,at primary school,24
2011,Male,Wicklow,1.3,13-18,at secondary school,60
2011,Male,Wicklow,1.3,19-66,at university,276
2011,Male,Clare,0.125,15-66,working,6367
2011,Male,Clare,0.125,5-12,at primary school,5045
2011,Male,Clare,0.125,13-18,at secondary school,1935
2011,Male,Clare,0.125,19-66,at university,589
2011,Male,Clare,0.275,15-66,working,6359
2011,Male,Clare,0.275,5-12,at primary school,1232
2011,Male,Clare,0.275,13-18,at secondary school,1621
2011,Male,Clare,0.275,19-66,at university,610
2011,Male,Clare,0.375,15-66,working,4277
2011,Male,Clare,0.375,5-12,at primary school,217
2011,Male,Clare,0.375,13-18,at secondary school,616
2011,Male,Clare,0.375,19-66,at university,411
2011,Male,Clare,0.525,15-66,working,1144
2011,Male,Clare,0.525,5-12,at primary school,29
2011,Male,Clare,0.525,13-18,at secondary school,118
2011,Male,Clare,0.525,19-66,at university,134
2011,Male,Clare,1.25,15-66,working,1065
2011,Male,Clare,1.25,5-12,at primary school,22
2011,Male,Clare,1.25,13-18,at secondary school,82
2011,Male,Clare,1.25,19-66,at university,141
2011,Male,Clare,1.3,15-66,working,532
2011,Male,Clare,1.3,5-12,at primary school,6
2011,Male,Clare,1.3,13-18,at secondary school,18
2011,Male,Clare,1.3,19-66,at university,66
2011,Male,Cork City,0.125,15-66,working,5520
2011,Male,Cork City,0.125,5-12,at primary school,3078
2011,Male,Cork City,0.125,13-18,at secondary school,1584
2011,Male,Cork City,0.125,19-66,at university,1408
2011,Male,Cork City,0.275,15-66,working,9181
2011,Male,Cork City,0.275,5-12,at primary school,1043
2011,Male,Cork City,0.275,13-18,at secondary school,1522
2011,Male,Cork City,0.275,19-66,at university,1599
2011,Male,Cork City,0.375,15-66,working,3476
2011,Male,Cork City,0.375,5-12,at primary school,153
2011,Male,Cork City,0.375,13-18,at secondary school,315
2011,Male,Cork City,0.375,19-66,at university,614
2011,Male,Cork City,0.525,15-66,working,617
2011,Male,Cork City,0.525,5-12,at primary school,25
2011,Male,Cork City,0.525,13-18,at secondary school,34
2011,Male,Cork City,0.525,19-66,at university,120
2011,Male,Cork City,1.25,15-66,working,477
2011,Male,Cork City,1.25,5-12,at primary school,12
2011,Male,Cork City,1.25,13-18,at secondary school,26
2011,Male,Cork City,1.25,19-66,at university,84
2011,Male,Cork City,1.3,15-66,working,235
2011,Male,Cork City,1.3,5-12,at primary school,5
2011,Male,Cork City,1.3,13-18,at secondary school,2
2011,Male,Cork City,1.3,19-66,at university,12
2011,Male,Cork County,0.125,15-66,working,19668
2011,Male,Cork County,0.125,5-12,at primary school,16443
2011,Male,Cork County,0.125,13-18,at secondary school,5772
2011,Male,Cork County,0.125,19-66,at university,1284
2011,Male,Cork County,0.275,15-66,working,24380
2011,Male,Cork County,0.275,5-12,at primary school,4947
2011,Male,Cork County,0.275,13-18,at secondary school,5724
2011,Male,Cork County,0.275,19-66,at university,1919
2011,Male,Cork County,0.375,15-66,working,18440
2011,Male,Cork County,0.375,5-12,at primary school,1217
2011,Male,Cork County,0.375,13-18,at secondary school,2366
2011,Male,Cork County,0.375,19-66,at university,1804
2011,Male,Cork County,0.525,15-66,working,5647
2011,Male,Cork County,0.525,5-12,at primary school,180
2011,Male,Cork County,0.525,13-18,at secondary school,454
2011,Male,Cork County,0.525,19-66,at university,666
2011,Male,Cork County,1.25,15-66,working,4655
2011,Male,Cork County,1.25,5-12,at primary school,90
2011,Male,Cork County,1.25,13-18,at secondary school,242
2011,Male,Cork County,1.25,19-66,at university,657
2011,Male,Cork County,1.3,15-66,working,1684
2011,Male,Cork County,1.3,5-12,at primary school,26
2011,Male,Cork County,1.3,13-18,at secondary school,38
2011,Male,Cork County,1.3,19-66,at university,164
2011,Male,Kerry,0.125,15-66,working,8985
2011,Male,Kerry,0.125,5-12,at primary school,5461
2011,Male,Kerry,0.125,13-18,at secondary school,2237
2011,Male,Kerry,0.125,19-66,at university,922
2011,Male,Kerry,0.275,15-66,working,6886
2011,Male,Kerry,0.275,5-12,at primary school,1552
2011,Male,Kerry,0.275,13-18,at secondary school,1851
2011,Male,Kerry,0.275,19-66,at university,795
2011,Male,Kerry,0.375,15-66,working,4200
2011,Male,Kerry,0.375,5-12,at primary school,282
2011,Male,Kerry,0.375,13-18,at secondary school,745
2011,Male,Kerry,0.375,19-66,at university,381
2011,Male,Kerry,0.525,15-66,working,987
2011,Male,Kerry,0.525,5-12,at primary school,41
2011,Male,Kerry,0.525,13-18,at secondary school,153
2011,Male,Kerry,0.525,19-66,at university,92
2011,Male,Kerry,1.25,15-66,working,1273
2011,Male,Kerry,1.25,5-12,at primary school,22
2011,Male,Kerry,1.25,13-18,at secondary school,74
2011,Male,Kerry,1.25,19-66,at university,98
2011,Male,Kerry,1.3,15-66,working,780
2011,Male,Kerry,1.3,5-12,at primary school,7
2011,Male,Kerry,1.3,13-18,at secondary school,23
2011,Male,Kerry,1.3,19-66,at university,98
2011,Male,Limerick City and County,0.125,15-66,working,9549
2011,Male,Limerick City and County,0.125,5-12,at primary school,6956
2011,Male,Limerick City and County,0.125,13-18,at secondary school,2816
2011,Male,Limerick City and County,0.125,19-66,at university,1525
2011,Male,Limerick City and County,0.275,15-66,working,11802
2011,Male,Limerick City and County,0.275,5-12,at primary school,2089
2011,Male,Limerick City and County,0.275,13-18,at secondary school,2587
2011,Male,Limerick City and County,0.275,19-66,at university,1668
2011,Male,Limerick City and County,0.375,15-66,working,6619
2011,Male,Limerick City and County,0.375,5-12,at primary school,352
2011,Male,Limerick City and County,0.375,13-18,at secondary school,997
2011,Male,Limerick City and County,0.375,19-66,at university,808
2011,Male,Limerick City and County,0.525,15-66,working,1549
2011,Male,Limerick City and County,0.525,5-12,at primary school,34
2011,Male,Limerick City and County,0.525,13-18,at secondary school,173
2011,Male,Limerick City and County,0.525,19-66,at university,237
2011,Male,Limerick City and County,1.25,15-66,working,1541
2011,Male,Limerick City and County,1.25,5-12,at primary school,35
2011,Male,Limerick City and County,1.25,13-18,at secondary school,79
2011,Male,Limerick City and County,1.25,19-66,at university,165
2011,Male,Limerick City and County,1.3,15-66,working,840
2011,Male,Limerick City and County,1.3,5-12,at primary school,16
2011,Male,Limerick City and County,1.3,13-18,at secondary school,31
2011,Male,Limerick City and County,1.3,19-66,at university,67
2011,Male,Tipperary,0.125,15-66,working,9988
2011,Male,Tipperary,0.125,5-12,at primary school,6675
2011,Male,Tipperary,0.125,13-18,at secondary school,2705
2011,Male,Tipperary,0.125,19-66,at university,721
2011,Male,Tipperary,0.275,15-66,working,7107
2011,Male,Tipperary,0.275,5-12,at primary school,1691
2011,Male,Tipperary,0.275,13-18,at secondary school,2152
2011,Male,Tipperary,0.275,19-66,at university,557
2011,Male,Tipperary,0.375,15-66,working,4712
2011,Male,Tipperary,0.375,5-12,at primary school,297
2011,Male,Tipperary,0.375,13-18,at secondary school,794
2011,Male,Tipperary,0.375,19-66,at university,407
2011,Male,Tipperary,0.525,15-66,working,1413
2011,Male,Tipperary,0.525,5-12,at primary school,41
2011,Male,Tipperary,0.525,13-18,at secondary school,162
2011,Male,Tipperary,0.525,19-66,at university,183
2011,Male,Tipperary,1.25,15-66,working,1783
2011,Male,Tipperary,1.25,5-12,at primary school,26
2011,Male,Tipperary,1.25,13-18,at secondary school,97
2011,Male,Tipperary,1.25,19-66,at university,243
2011,Male,Tipperary,1.3,15-66,working,1121
2011,Male,Tipperary,1.3,5-12,at primary school,11
2011,Male,Tipperary,1.3,13-18,at secondary school,19
2011,Male,Tipperary,1.3,19-66,at university,90
2011,Male,Waterford City and County,0.125,15-66,working,6882
